"","Station_ID","Station_Name","Go_live_date","Region","Status","LAT","LON","elevation"
"99",4174,"Fair Oaks & Hammond","7/14/2017","Pasadena","Active",34.165291,-118.15097,293.92
"100",4176,"Caltech East","7/14/2017","Pasadena","Active",34.137859,-118.122414,231.33
"101",4177,"Madison & Colorado","7/14/2017","Pasadena","Active",34.144981,-118.13826,252.72
"102",4180,"Caltech West","7/21/2017","Pasadena","Active",34.137951,-118.128502,234.75
"103",4181,"Oak Knoll & Colorado","7/14/2017","Pasadena","Active",34.146221,-118.135262,250.45
"104",4183,"Catalina & Colorado","7/14/2017","Pasadena","Active",34.146069,-118.129181,247.15
"105",4194,"Union Station East","7/25/2017","DTLA","Inactive",34.056702,-118.231392,86.91
"106",4202,"Abbot Kinney & Cadiz","7/7/2017","Venice","Active",33.991161,-118.468292,3.49
"107",4204,"Washington & Abbot Kinney","7/7/2017","Venice","Active",33.988419,-118.45163,2.86
"108",4205,"Venice & Lincoln","7/7/2017","Venice","Active",33.993771,-118.453667,8.06
"109",4206,"California & Lincoln","7/7/2017","Venice","Active",33.998341,-118.461014,7.64
"110",4207,"Rose & 7th","7/7/2017","Venice","Active",34.000881,-118.46891,10.29
"111",4208,"Rose & Rennie","7/7/2017","Venice","Active",33.99868,-118.472977,9.81
"112",4209,"Rose & Main","7/7/2017","Venice","Active",33.996239,-118.477448,8.05
"113",4210,"Ocean Front Walk & North Venice","7/7/2017","Venice","Active",33.984341,-118.47155,5.34
"114",4211,"Pacific & North Venice","7/7/2017","Venice","Active",33.984928,-118.469963,3.95
"115",4212,"Windward & Main","7/7/2017","Venice","Active",33.988129,-118.471741,3.87
"116",4213,"7th & California","7/7/2017","Venice","Active",33.994701,-118.464081,5.33
"117",4214,"Ocean Front Walk & Navy","7/7/2017","Venice","Active",33.99556,-118.481552,4.8
"118",4215,"Downtown Santa Monica Expo Line Station","7/7/2017","Venice","Active",34.014309,-118.491341,21.79
"119",4216,"17th St / SMC Expo Line Station","7/7/2017","Venice","Active",34.023392,-118.479637,37.43
